run_name,datetime,hyperparameters,epoch,train_loss,test_loss,accuracy_top1
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.2493,3.2966,0.4721
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6333,3.5234,0.4571
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3256,3.0810,0.5406
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1760,3.1147,0.5552
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.0983,2.8400,0.5976
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0525,2.6899,0.6303
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0315,2.6377,0.6368
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0204,2.5647,0.6644
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0117,2.3969,0.6802
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0066,2.3426,0.6893
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0042,2.3103,0.6937
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0030,2.2817,0.6965
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0022,2.2679,0.6984
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.2664,0.6993
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2654,0.6996
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.2638,0.6996
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2659,0.6994
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2641,0.6999
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.7312,10.2369,0.0046
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.5587,9.2820,0.0290
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.8463,8.2856,0.0502
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.8960,7.4864,0.0726
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.9917,7.2494,0.0838
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.3731,8.3528,0.0769
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.8316,4.4315,0.3251
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.2836,3.3050,0.4654
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6343,3.2373,0.5004
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3349,3.1006,0.5244
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1792,3.0429,0.5684
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1015,2.8801,0.5954
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0556,2.7626,0.6164
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0328,2.6431,0.6394
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0180,2.4908,0.6689
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0108,2.3514,0.6854
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0066,2.3313,0.6910
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0041,2.2913,0.6942
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0029,2.2623,0.6968
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.2461,0.6983
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.2468,0.6988
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2465,0.6987
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0013,2.2463,0.6990
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2469,0.6989
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2476,0.6994
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.7077,10.1203,0.0063
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.5283,9.4594,0.0287
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.8274,8.3076,0.0505
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.9011,7.5314,0.0704
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.9976,7.3122,0.0815
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.4519,8.4573,0.0829
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.9540,4.2961,0.3173
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.3746,3.7879,0.4170
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6956,3.3897,0.4759
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3619,3.3453,0.5000
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1795,3.3807,0.5185
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1001,3.1346,0.5660
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0549,2.7912,0.6096
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0311,2.7862,0.6259
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0204,2.5704,0.6521
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0112,2.5611,0.6641
